Voter||Weight||% Weight||Author||Rep||Permlink||vote_tstamp||Total Payout||Pending Payout||Curator Payout||Total Payout Value||Total Reward Shares||Ratio||Delegatee Vote Value||Vote Count||Created||Vote Date||Comments||json_metadata||depth||Word Count
karenfoster||10000||100||ridhasteem||47||ophumanangels-raise-funds-for-victims-erupts-mountain-5-d5ca9d5c2741d||2018-03-01 12:21:00||4.626||4.626||0||0||860855964887||5.3737212596386326e-12||0.13893617288416626||54||2018-02-28 19:45:51||2018-03-01||24||"{""tags"":[""ophumanangels"",""walkwithme"",""mountain"",""steem"",""esteem""]}"||0||515
karenfoster||3200||32||junebride||57||steemitachievers-meetup-in-cebu-league-of-aces-in-cebu||2018-03-01 12:18:51||4.034||4.034||0||0||745750838729||5.409313393298004e-12||0.045316598325726855||53||2018-02-25 16:17:00||2018-03-01||23||"{""tags"":[""meetup"",""philippines"",""steemitachievers"",""steemph"",""busy""]}"||0||696
karenfoster||1000||10||junebride||57||re-karenfoster-do-you-grow-seedling-progress-and-our-makeshift-seed-starting-tent-20180301t075833145z||2018-03-01 12:17:57||0.014||0.014||0||0||2599918117||5.384784970133735e-12||0.014000000000000002||1||2018-03-01 07:58:36||2018-03-01||1||"{""tags"":[""doyougrow""]}"||1||9
karenfoster||1000||10||twinislandflames||46||re-karenfoster-2018228t211657284z||2018-03-01 12:17:03||0.014||0.014||0||0||2599918117||5.384784970133735e-12||0.014000000000000002||1||2018-03-01 05:16:57||2018-03-01||1||"{""tags"":[""doyougrow"",""gardening"",""homesteading"",""foodisfree""]}"||1||16
karenfoster||1000||10||impatientoptim||41||re-karenfoster-do-you-grow-seedling-progress-and-our-makeshift-seed-starting-tent-20180301t043712394z||2018-03-01 12:16:36||0.047||0.047||0||0||8922200820||5.267758588737975e-12||0.014456615493552634||2||2018-03-01 04:37:15||2018-03-01||1||"{""tags"":[""doyougrow""]}"||1||12
karenfoster||1000||10||phoenixwren||57||re-karenfoster-do-you-grow-seedling-progress-and-our-makeshift-seed-starting-tent-20180301t032521005z||2018-03-01 12:14:18||0.015||0.015||0||0||2744358013||5.465759178993823e-12||0.015||1||2018-03-01 03:25:27||2018-03-01||1||"{""tags"":[""doyougrow""]}"||1||20
karenfoster||3200||32||solarsupermama||53||what-is-patriarchy-a-society-led-by-men-or-a-society-led-by-fear-and-a-feeling-of-scarcity-which-happens-to-be-an-environment-in||2018-03-01 12:13:09||4.48||4.48||0||0||824276889907||5.4350668505403105e-12||0.04631738876326803||17||2018-03-01 00:34:18||2018-03-01||22||"{""tags"":[""ecotrain"",""patriarchy"",""feminism"",""toxicmasculinity"",""dawnofanewday""]}"||0||1204
karenfoster||3200||32||birdsinparadise||38||healthy-or-celebrating-the-strawberry-day-3-or-a-mothers-love||2018-03-01 12:13:03||1.184||1.184||0||0||220819546691||5.3618441743149205e-12||0.045693388497166226||9||2018-02-28 18:03:15||2018-03-01||6||"{""tags"":[""recipes"",""food"",""homesteading"",""family"",""health""]}"||0||602
karenfoster||3200||32||ppandcc||36||books-and-kitties-at-the-wee-book-inn||2018-03-01 12:12:33||0.242||0.242||0||0||44820070375||5.399366800971918e-12||0.046013154589117485||21||2018-03-01 04:46:21||2018-03-01||6||"{""tags"":[""cat"",""books"",""fiction"",""urban"",""edmonton""]}"||0||331
karenfoster||3200||32||hethur240||60||gardening-and-homesteading-journal-week-4-february-18-february-24||2018-03-01 12:12:21||0.889||0.889||0||0||164801702299||5.394361754753515e-12||0.04674966286177585||16||2018-03-01 05:38:21||2018-03-01||11||"{""tags"":[""homesteadersonline"",""journal"",""homesteading"",""writing"",""blog""]}"||0||180
karenfoster||1000||10||walkerland||53||re-llfarms-why-you-should-throw-your-toxic-deodorant-in-the-trash-20180301t061310041z||2018-03-01 12:09:36||0.026||0.026||0||0||4799314964||5.417439821105269e-12||0.014867394382995532||3||2018-03-01 06:13:09||2018-03-01||2||"{""tags"":[""health""]}"||1||63
karenfoster||3200||32||llfarms||51||why-you-should-throw-your-toxic-deodorant-in-the-trash||2018-03-01 12:08:48||2.615||2.615||0||0||470147587247||5.562083207344347e-12||0.048203203006056926||39||2018-03-01 06:04:57||2018-03-01||27||"{""tags"":[""health"",""blog"",""life"",""homesteading"",""diy""]}"||0||1130
karenfoster||3200||32||phoenixwren||57||i-ve-been-drawing-again||2018-03-01 12:08:45||1.228||1.228||0||0||221566011838||5.542366312473338e-12||0.048832867445837876||10||2018-03-01 08:14:30||2018-03-01||3||"{""tags"":[""anarchy"",""art"",""drawing"",""doodle"",""chalking""]}"||0||360
karenfoster||3200||32||markrmorrisjr||70||20180301t021527303z-post||2018-03-01 03:01:27||0.931||0.931||0||0||172350781482||5.4017741723859375e-12||0.043692975008938234||16||2018-03-01 02:15:33||2018-03-01||7||"{""tags"":[""photography"",""creativity"",""poetry"",""writing"",""blog"",""creative"",""nature"",""family"",""travel"",""adventure"",""story"",""markrmorrisjr"",""steepshot""]}"||0||40
karenfoster||3200||32||creativetruth||62||trimming-the-curly-willow-in-winter-bonsai||2018-03-01 03:01:12||1.262||1.262||0||0||235648967200||5.355423429158997e-12||0.04409159760246129||15||2018-03-01 02:36:21||2018-03-01||15||"{""tags"":[""bonsai"",""willow"",""corkscrew"",""curly"",""winter""]}"||0||623
karenfoster||1000||10||hethur240||60||re-karenfoster-do-you-grow-seedling-progress-and-our-makeshift-seed-starting-tent-20180301t023452669z||2018-03-01 02:57:54||0.014||0.014||0||0||2599918117||5.384784970133735e-12||0.014000000000000002||1||2018-03-01 02:34:45||2018-03-01||1||"{""tags"":[""doyougrow""]}"||1||24
karenfoster||1000||10||earthmother||51||re-karenfoster-re-earthmother-5kcdmk-snow-fleas-20180301t022351431z||2018-03-01 02:30:33||0.014||0.014||0||0||2599918117||5.384784970133735e-12||0.014000000000000002||1||2018-03-01 02:23:45||2018-03-01||1||"{""tags"":[""homesteading""]}"||2||24
karenfoster||1000||10||hethur240||60||re-karenfoster-re-hethur240-our-greenhouse-growing-tiny-green-seedlings-and-planting-more-20180301t022727598z||2018-03-01 02:28:36||0.014||0.014||0||0||2599918117||5.384784970133735e-12||0.014000000000000002||1||2018-03-01 02:27:24||2018-03-01||1||"{""tags"":[""homesteadersonline""]}"||2||27
karenfoster||3200||32||wwf||64||if-i-was-a-bankster-this-is-how-i-would-sabotage-the-steem-blockchain||2018-03-01 02:26:54||18.581||18.581||0||0||3467543465656||5.358548547129687e-12||0.04411732693009459||56||2018-02-27 18:17:57||2018-03-01||48||"{""tags"":[""ungrip"",""steem"",""peace"",""freedom"",""prosperity""]}"||0||892
karenfoster||3200||32||skycae||54||the-mundane-medicinal-and-magical-common-primrose||2018-03-01 02:23:57||5.702||5.702||0||0||1061183056537||5.3732482486174994e-12||0.04423835066079495||53||2018-02-28 04:01:15||2018-03-01||39||"{""tags"":[""earthnation"",""flowers"",""gardening"",""herbalmedicine"",""magic""]}"||0||2820
karenfoster||3200||32||livesustainably||47||daily-digest-56-making-use-of-food-waste-or-a-meaningful-community||2018-03-01 02:23:51||1.429||1.429||0||0||255704048910||5.588491876024084e-12||0.04681766856143756||26||2018-02-28 14:57:54||2018-03-01||2||"{""tags"":[""livesustainably"",""homesteading"",""environment"",""nature"",""busy""]}"||0||458
karenfoster||3200||32||sagescrub||55||freedom-challenge-3-how-do-you-express-your-freedom-sbd-to-4-winners-1519257201||2018-03-01 02:23:27||4.704||0||0.818||3.886||871689850940||5.3964147855196084e-12||0.04520854005933414||68||2018-02-23 15:54:24||2018-03-01||16||"{""tags"":[""freedomchallenge"",""freedom"",""life"",""contest"",""homesteading""]}"||0||278
karenfoster||3200||32||dartistdreams||37||early-spring-plant-starts-366f4ba04252b||2018-03-01 02:22:57||0.038||0||0.003||0.035||0||Infinity||NaN||0||2018-02-19 02:16:21||2018-03-01||6||"{""tags"":[""homesteading"",""gardening"",""smartphonephotography"",""photos"",""science""]}"||0||127
karenfoster||3200||32||powellx5||51||day-4-seven-day-black-and-white-photo-challenge||2018-03-01 02:22:33||0.456||0||0.067||0.389||82517238665||5.52611802548616e-12||0.04629513075943887||17||2018-02-23 02:44:51||2018-03-01||13||"{""tags"":[""sevendaybnwchallenge"",""photography"",""gardening"",""homesteading"",""busy""]}"||0||52
karenfoster||3200||32||powellx5||51||milk-thistle-medicinal-and-culinary-herb||2018-03-01 02:22:21||0.707||0.707||0||0||130794467943||5.405427393978997e-12||0.046064802682906233||20||2018-02-27 07:53:06||2018-03-01||10||"{""tags"":[""medicinalherbs"",""homesteading"",""gardening"",""seeds"",""health""]}"||0||1715
karenfoster||3200||32||powellx5||51||day-6-seven-day-black-and-white-photo-challenge||2018-03-01 02:22:12||0.348||0.348||0||0||62779742510||5.543189348770714e-12||0.04723880370117179||12||2018-02-27 08:03:21||2018-03-01||3||"{""tags"":[""sevendaybnwchallenge"",""animalphotography"",""photography"",""chickens"",""homesteading""]}"||0||53
karenfoster||3200||32||powellx5||51||free-art-tuesday-and-some-crafty-curation-2||2018-03-01 02:22:09||1.143||1.143||0||0||204693567553||5.583956612139511e-12||0.048392766544118115||28||2018-02-28 04:04:33||2018-03-01||14||"{""tags"":[""freearttuesday"",""art"",""crafts"",""craft"",""howto""]}"||0||559
karenfoster||3200||32||sagescrub||55||day-7-seven-day-black-and-white-photo-challenge||2018-03-01 02:21:54||3.201||0||0.297||2.904||0||Infinity||NaN||0||2018-02-18 22:44:24||2018-03-01||2||"{""tags"":[""sevendaybnwchallenge"",""photography"",""photo"",""life"",""art""]}"||0||51
karenfoster||3200||32||shalomacres||52||strawberry-transplanting-time||2018-03-01 02:19:00||0.919||0.919||0||0||170640232049||5.385599802373133e-12||0.04667372833264776||26||2018-02-28 20:51:24||2018-03-01||7||"{""tags"":[""homesteading"",""nature"",""gardening"",""food"",""life""]}"||0||242
karenfoster||3200||32||endacliquers||48||the-process-of-making-paintings-on-bamboo-great-artwork-c1bfcec408713||2018-03-01 02:18:18||0.052||0.052||0||0||9415269739||5.522943201999324e-12||0.04786400030933835||3||2018-02-28 21:18:45||2018-03-01||0||"{""tags"":[""art"",""furniture"",""esteem"",""ocd-resteem"",""homesteading""]}"||0||145
karenfoster||3200||32||earthmother||51||5kcdmk-snow-fleas||2018-03-01 02:17:15||1.037||1.037||0||0||190933759270||5.431202967797723e-12||0.04785342571114716||15||2018-02-28 22:27:03||2018-03-01||20||"{""tags"":[""homesteading"",""selfsustaining"",""offgrid"",""winter"",""snow""]}"||0||117
karenfoster||3200||32||aktinyhome||48||how-the-tiny-home-helped-me-let-go||2018-03-01 02:13:48||0.143||0.143||0||0||25799696612||5.542700836779901e-12||0.04883581488384519||14||2018-02-28 22:56:27||2018-03-01||13||"{""tags"":[""life"",""tinyhome"",""homesteading"",""blog"",""prepper""]}"||0||852
karenfoster||3200||32||amberyooper||59||hugelkultur-bed-construction-part-1||2018-03-01 02:10:30||1.868||1.868||0||0||336952847798||5.543802381275164e-12||0.048845520409119075||22||2018-03-01 01:02:18||2018-03-01||5||"{""tags"":[""homesteading"",""gardening"",""blog"",""photos"",""raisedbed-garden""]}"||0||521
karenfoster||3200||32||derekfreeman||37||symbiotic-gardening||2018-03-01 02:08:03||0.238||0.238||0||0||44256060672||5.377794507376438e-12||0.04815962072639848||10||2018-03-01 01:43:06||2018-03-01||7||"{""tags"":[""homesteading"",""homesteadersonline"",""gardening"",""nature"",""life""]}"||0||705
karenfoster||3200||32||moneyinfant||53||the-business-branding-contest||2018-03-01 02:04:54||1.36||1.36||0||0||244094674673||5.5716086466118775e-12||0.04989527935451995||20||2018-02-27 19:38:18||2018-03-01||45||"{""tags"":[""contest"",""art"",""busy"",""business"",""flower""]}"||0||313
karenfoster||3200||32||daddykirbs||63||be-a-cool-curator-a-daddykirbs-contest-to-win-usd10-sbd-5-week-4-winner-announced||2018-03-01 02:04:24||13.296||13.296||0||0||2471682179433||5.3793323877304e-12||0.04895038307623631||28||2018-03-01 01:39:09||2018-03-01||14||"{""tags"":[""contest"",""homesteading"",""steemit"",""fun"",""crypto""]}"||0||354
karenfoster||1000||10||squishysquid||52||re-karenfoster-re-squishysquid-buying-farm-tools-with-sbd-thanks-freedompoint-d-20180301t014259267z||2018-03-01 02:03:00||0.016||0.016||0||0||2888797908||5.5386359688543506e-12||0.016||1||2018-03-01 01:43:00||2018-03-01||1||"{""tags"":[""homesteadersonline""]}"||2||22
karenfoster||1000||10||phoenixwren||57||re-karenfoster-re-phoenixwren-ophumanangels-neighbor-cats-op-complete-20180301t005539502z||2018-03-01 02:01:00||0.016||0.016||0||0||2888797908||5.5386359688543506e-12||0.016||1||2018-03-01 00:55:42||2018-03-01||1||"{""tags"":[""ophumanangels""]}"||2||119
karenfoster||1000||10||lyndsaybowes||67||re-karenfoster-re-lyndsaybowes-stop-killing-our-friends-official-music-video-20180228t205510004z||2018-03-01 02:00:27||0.016||0.016||0||0||2888797908||5.5386359688543506e-12||0.016||1||2018-02-28 20:55:09||2018-03-01||0||"{""tags"":[""music""]}"||2||17
karenfoster||3200||32||squishysquid||52||buying-farm-tools-with-sbd-thanks-freedompoint-d||2018-03-01 00:47:12||1.688||1.688||0||0||303581827960||5.560280110779263e-12||0.050554515315001596||17||2018-02-28 23:01:45||2018-03-01||19||"{""tags"":[""homesteadersonline"",""handcrafted"",""art"",""knives"",""crafts""]}"||0||366
karenfoster||3200||32||hethur240||60||our-greenhouse-growing-tiny-green-seedlings-and-planting-more||2018-03-01 00:43:54||0.356||0.356||0||0||64014473044||5.5612423733505594e-12||0.050563264283925546||14||2018-03-01 00:11:33||2018-03-01||12||"{""tags"":[""homesteadersonline"",""homesteading"",""greenhouse"",""gardening"",""vegetables""]}"||0||128
karenfoster||3200||32||marionbowes||53||busting-it-for-the-bluenose||2018-03-01 00:43:45||0.401||0.401||0||0||74680865027||5.369514665570935e-12||0.04882006049811902||11||2018-03-01 00:20:57||2018-03-01||4||"{""tags"":[""running"",""sport"",""community"",""event"",""charity""]}"||0||947
karenfoster||1000||10||phoenixwren||57||re-lyndsaybowes-re-phoenixwren-ophumanangels-neighbor-cats-op-complete-20180301t002030423z||2018-03-01 00:39:06||0.022||0.022||0||0||3968032719||5.544309121912762e-12||0.016002954221608072||2||2018-03-01 00:20:36||2018-03-01||1||"{""tags"":[""ophumanangels""]}"||2||17
karenfoster||1000||10||lyndsaybowes||67||re-phoenixwren-ophumanangels-neighbor-cats-op-complete-20180301t001653880z||2018-03-01 00:39:03||0.125||0.125||0||0||22679509716||5.511582991223778e-12||0.01590849434216226||3||2018-03-01 00:16:54||2018-03-01||1||"{""tags"":[""ophumanangels""]}"||1||46
